course;stop_code;stop_id;stop_name;route_short_name;trip_headsign;direction_id;departure_time;is_theorical;delay_sec;dest_ar_code
268435576;ANTIGRTW;41217;ANTIGONE;1;MOSSON;1;20:39:57;0;497;41101
268435619;ANTIGRTW;41217;ANTIGONE;1;MOSSON;1;20:55:37;0;1437;41101
268435662;ANTIGRTW;41217;ANTIGONE;1;MOSSON;1;21:10:37;0;2337;41101
268436007;BOUTORTW;41233;BOUTONNET;1;MOSSON;1;20:41:36;0;596;41101
268435576;BOUTORTW;41233;BOUTONNET;1;MOSSON;1;20:56:35;0;1495;41101
268435619;BOUTORTW;41233;BOUTONNET;1;MOSSON;1;21:11:13;0;2373;41101
268435532;CHATORTW;41243;CHATEAU D'O;1;MOSSON;1;20:36:56;0;316;41101
268436007;CHATORTW;41243;CHATEAU D'O;1;MOSSON;1;20:50:22;0;1122;41101
268435576;CHATORTW;41243;CHATEAU D'O;1;MOSSON;1;21:05:26;0;2026;41101
268435576;COMEDRTW;41223;COMEDIE;1;MOSSON;1;20:46:25;0;885;41101
268435619;COMEDRTW;41223;COMEDIE;1;MOSSON;1;21:02:00;0;1820;41101
268435662;COMEDRTW;41223;COMEDIE;1;MOSSON;1;21:17:00;0;2720;41101
268436007;CORUMRTW;41225;CORUM T1;1;MOSSON;1;20:34:21;0;161;41101
268435576;CORUMRTW;41225;CORUM T1;1;MOSSON;1;20:49:25;0;1065;41101
268435619;CORUMRTW;41225;CORUM T1;1;MOSSON;1;21:05:00;0;2000;41101
268435576;DUGUESCE;41218;DU GUESCLIN;1;MOSSON;1;20:42:07;0;627;41101
268435619;DUGUESCE;41218;DU GUESCLIN;1;MOSSON;1;20:57:57;0;1577;41101
268435662;DUGUESCE;41218;DU GUESCLIN;1;MOSSON;1;21:12:57;0;2477;41101
268435532;EUROMRTW;41247;EUROMEDECINE;1;MOSSON;1;20:40:56;0;556;41101
268436007;EUROMRTW;41247;EUROMEDECINE;1;MOSSON;1;20:54:22;0;1362;41101
268435576;EUROMRTW;41247;EUROMEDECINE;1;MOSSON;1;21:09:26;0;2266;41101
268435576;GARERTW;41221;GARE ST-ROCH T1;1;MOSSON;1;20:44:25;0;765;41101
268435619;GARERTW;41221;GARE ST-ROCH T1;1;MOSSON;1;21:00:00;0;1700;41101
268435662;GARERTW;41221;GARE ST-ROCH T1;1;MOSSON;1;21:15:00;0;2600;41101
268435844;HALLPRTW;41253;HALLES PAILLADE;1;MOSSON;1;20:32:44;0;64;41101
268435532;HALLPRTW;41253;HALLES PAILLADE;1;MOSSON;1;20:45:07;0;807;41101
268436007;HALLPRTW;41253;HALLES PAILLADE;1;MOSSON;1;20:58:42;0;1622;41101
268435532;HTMASRTW;41249;HAUTS DE MASSANE;1;MOSSON;1;20:41:56;0;616;41101
268436007;HTMASRTW;41249;HAUTS DE MASSANE;1;MOSSON;1;20:55:22;0;1422;41101
268435576;HTMASRTW;41249;HAUTS DE MASSANE;1;MOSSON;1;21:10:26;0;2326;41101
268435532;LAPEYRTW;41239;HOP. LAPEYRONIE;1;MOSSON;1;20:33:42;0;122;41101
268436007;LAPEYRTW;41239;HOP. LAPEYRONIE;1;MOSSON;1;20:47:08;0;928;41101
268435576;LAPEYRTW;41239;HOP. LAPEYRONIE;1;MOSSON;1;21:02:07;0;1827;41101
268435576;LBLUMRTW;41215;LEON BLUM;1;MOSSON;1;20:38:24;0;404;41101
268435619;LBLUMRTW;41215;LEON BLUM;1;MOSSON;1;20:53:59;0;1339;41101
268435662;LBLUMRTW;41215;LEON BLUM;1;MOSSON;1;21:08:59;0;2239;41101
268436007;BLANCRTW;41227;LOUIS BLANC;1;MOSSON;1;20:36:28;0;288;41101
268435576;BLANCRTW;41227;LOUIS BLANC;1;MOSSON;1;20:51:03;0;1163;41101
268435619;BLANCRTW;41227;LOUIS BLANC;1;MOSSON;1;21:06:17;0;2077;41101
268435532;MALBORTW;41245;MALBOSC;1;MOSSON;1;20:38:56;0;436;41101
268436007;MALBORTW;41245;MALBOSC;1;MOSSON;1;20:52:22;0;1242;41101
268435576;MALBORTW;41245;MALBOSC;1;MOSSON;1;21:07:26;0;2146;41101
268435619;MILLERTW;41203;MILLENAIRE;1;MOSSON;1;20:44:23;0;763;41101
268435662;MILLERTW;41203;MILLENAIRE;1;MOSSON;1;20:59:23;0;1663;41101
268435492;MILLERTW;41203;MILLENAIRE;1;MOSSON;1;21:14:23;0;2563;41101
268435619;MONDIRTW;41205;MONDIAL 98;1;MOSSON;1;20:45:49;0;849;41101
268435662;MONDIRTW;41205;MONDIAL 98;1;MOSSON;1;21:00:49;0;1749;41101
268435492;MONDIRTW;41205;MONDIAL 98;1;MOSSON;1;21:15:49;0;2649;41101
268435576;MOULARTW;41209;MOULARES;1;MOSSON;1;20:33:09;0;89;41101
268435619;MOULARTW;41209;MOULARES;1;MOSSON;1;20:48:49;0;1029;41101
268435662;MOULARTW;41209;MOULARES;1;MOSSON;1;21:03:49;0;1929;41101
268435532;OCCITRTW;41241;OCCITANIE;1;MOSSON;1;20:34:56;0;196;41101
268436007;OCCITRTW;41241;OCCITANIE;1;MOSSON;1;20:48:22;0;1002;41101
268435576;OCCITRTW;41241;OCCITANIE;1;MOSSON;1;21:03:26;0;1906;41101
268435619;ODYSSETW;41201;ODYSSEUM;1;MOSSON;1;20:41:00;0;560;41101
268435662;ODYSSETW;41201;ODYSSEUM;1;MOSSON;1;20:56:00;0;1460;41101
268435492;ODYSSETW;41201;ODYSSEUM;1;MOSSON;1;21:11:00;0;2360;41101
268436007;PHILIRTW;41231;PHILIPPIDES;1;MOSSON;1;20:40:10;0;510;41101
268435576;PHILIRTW;41231;PHILIPPIDES;1;MOSSON;1;20:55:09;0;1409;41101
268435619;PHILIRTW;41231;PHILIPPIDES;1;MOSSON;1;21:09:49;0;2289;41101
268435576;EUROPRTW;41213;PL. DE L'EUROPE;1;MOSSON;1;20:36:24;0;284;41101
268435619;EUROPRTW;41213;PL. DE L'EUROPE;1;MOSSON;1;20:51:59;0;1219;41101
268435662;EUROPRTW;41213;PL. DE L'EUROPE;1;MOSSON;1;21:06:59;0;2119;41101
