identifiantStation;nomStation;codeLigne;sensLigne;heureEstimeeDepart;dateModification;cleModification;cleTri
TRANSPOLE:StopPointRef:BP:3197:LOC;18 JUIN;L1;AGRIPPIN;2021-03-05T23:19:42+01:00;2021-03-05T23:07:44+01:00;TRANSPOLE:ItemId::439371:LOC;AGRIPPIN/18 JUIN/2021-03-05T23:19:42.000+01:00
TRANSPOLE:StopPointRef:BP:3197:LOC;18 JUIN;L1;AGRIPPIN;2021-03-06T00:20:34+01:00;2021-03-06T00:08:29+01:00;TRANSPOLE:ItemId::440643:LOC;AGRIPPIN/18 JUIN/2021-03-06T00:20:34.000+01:00
TRANSPOLE:StopPointRef:BP:4119:LOC;AGRIPPIN;L1;AGRIPPIN;2021-03-06T00:00:00+01:00;2021-03-05T23:49:14+01:00;TRANSPOLE:ItemId::439406:LOC;AGRIPPIN/AGRIPPIN/2021-03-06T00:00:00.000+01:00
TRANSPOLE:StopPointRef:BP:5435:LOC;AGRIPPIN;L1;AGRIPPIN;2021-03-06T00:01:00+01:00;2021-03-05T23:40:44+01:00;TRANSPOLE:ItemId::439407:LOC;AGRIPPIN/AGRIPPIN/2021-03-06T00:01:00.000+01:00
TRANSPOLE:StopPointRef:BP:5441:LOC;CAVLE;L1;AGRIPPIN;2021-03-05T23:56:16+01:00;2021-03-05T23:42:14+01:00;TRANSPOLE:ItemId::439401:LOC;AGRIPPIN/CAVLE/2021-03-05T23:56:16.000+01:00
TRANSPOLE:StopPointRef:BP:5441:LOC;CAVLE;L1;AGRIPPIN;2021-03-06T00:58:37+01:00;2021-03-06T00:09:05+01:00;TRANSPOLE:ItemId::440673:LOC;AGRIPPIN/CAVLE/2021-03-06T00:58:37.000+01:00
TRANSPOLE:StopPointRef:BP:3070:LOC;CHAMP DE MARS;L1;AGRIPPIN;2021-03-05T23:36:22+01:00;2021-03-05T23:34:44+01:00;TRANSPOLE:ItemId::439386:LOC;AGRIPPIN/CHAMP DE MARS/2021-03-05T23:36:22.000+01:00
TRANSPOLE:StopPointRef:BP:3070:LOC;CHAMP DE MARS;L1;AGRIPPIN;2021-03-06T00:37:30+01:00;2021-03-06T00:09:05+01:00;TRANSPOLE:ItemId::440658:LOC;AGRIPPIN/CHAMP DE MARS/2021-03-06T00:37:30.000+01:00
TRANSPOLE:StopPointRef:BP:5561:LOC;COLPIN;L1;AGRIPPIN;2021-03-05T23:37:36+01:00;2021-03-05T23:26:44+01:00;TRANSPOLE:ItemId::439387:LOC;AGRIPPIN/COLPIN/2021-03-05T23:37:36.000+01:00
TRANSPOLE:StopPointRef:BP:5561:LOC;COLPIN;L1;AGRIPPIN;2021-03-06T00:38:51+01:00;2021-03-05T23:38:14+01:00;TRANSPOLE:ItemId::440659:LOC;AGRIPPIN/COLPIN/2021-03-06T00:38:51.000+01:00
TRANSPOLE:StopPointRef:BP:3959:LOC;COLUCHE;L1;AGRIPPIN;2021-03-05T23:17:42+01:00;2021-03-05T23:09:44+01:00;TRANSPOLE:ItemId::439369:LOC;AGRIPPIN/COLUCHE/2021-03-05T23:17:42.000+01:00
TRANSPOLE:StopPointRef:BP:3959:LOC;COLUCHE;L1;AGRIPPIN;2021-03-06T00:18:10+01:00;2021-03-05T23:03:29+01:00;TRANSPOLE:ItemId::440641:LOC;AGRIPPIN/COLUCHE/2021-03-06T00:18:10.000+01:00
TRANSPOLE:StopPointRef:BP:5319:LOC;COMTESSE SEGUR;L1;AGRIPPIN;2021-03-05T23:18:43+01:00;2021-03-05T23:07:44+01:00;TRANSPOLE:ItemId::439370:LOC;AGRIPPIN/COMTESSE SEGUR/2021-03-05T23:18:43.000+01:00
TRANSPOLE:StopPointRef:BP:5319:LOC;COMTESSE SEGUR;L1;AGRIPPIN;2021-03-06T00:19:22+01:00;2021-03-05T23:03:29+01:00;TRANSPOLE:ItemId::440642:LOC;AGRIPPIN/COMTESSE SEGUR/2021-03-06T00:19:22.000+01:00
TRANSPOLE:StopPointRef:BP:6017:LOC;CTRE COMMERCIAL;L1;AGRIPPIN;2021-03-06T00:09:00+01:00;2021-03-05T23:48:34+01:00;TRANSPOLE:ItemId::440634:LOC;AGRIPPIN/CTRE COMMERCIAL/2021-03-06T00:09:00.000+01:00
TRANSPOLE:StopPointRef:BP:379:LOC;DESTOOP;L1;AGRIPPIN;2021-03-05T23:21:41+01:00;2021-03-05T23:09:44+01:00;TRANSPOLE:ItemId::439373:LOC;AGRIPPIN/DESTOOP/2021-03-05T23:21:41.000+01:00
TRANSPOLE:StopPointRef:BP:379:LOC;DESTOOP;L1;AGRIPPIN;2021-03-06T00:22:09+01:00;2021-03-05T23:20:14+01:00;TRANSPOLE:ItemId::440645:LOC;AGRIPPIN/DESTOOP/2021-03-06T00:22:09.000+01:00
TRANSPOLE:StopPointRef:BP:5462:LOC;ESPLANADE;L1;AGRIPPIN;2021-03-05T23:39:35+01:00;2021-03-05T23:35:59+01:00;TRANSPOLE:ItemId::439388:LOC;AGRIPPIN/ESPLANADE/2021-03-05T23:39:35.000+01:00
TRANSPOLE:StopPointRef:BP:5462:LOC;ESPLANADE;L1;AGRIPPIN;2021-03-06T00:39:58+01:00;2021-03-05T23:39:14+01:00;TRANSPOLE:ItemId::440660:LOC;AGRIPPIN/ESPLANADE/2021-03-06T00:39:58.000+01:00
TRANSPOLE:StopPointRef:BP:5282:LOC;FAIDHERBE;L1;AGRIPPIN;2021-03-05T23:44:28+01:00;2021-03-05T23:39:14+01:00;TRANSPOLE:ItemId::439389:LOC;AGRIPPIN/FAIDHERBE/2021-03-05T23:44:28.000+01:00
TRANSPOLE:StopPointRef:BP:5282:LOC;FAIDHERBE;L1;AGRIPPIN;2021-03-06T00:44:35+01:00;2021-03-05T23:03:29+01:00;TRANSPOLE:ItemId::440661:LOC;AGRIPPIN/FAIDHERBE/2021-03-06T00:44:35.000+01:00
TRANSPOLE:StopPointRef:BP:3759:LOC;FAURE;L1;AGRIPPIN;2021-03-05T23:49:26+01:00;2021-03-05T23:41:14+01:00;TRANSPOLE:ItemId::439395:LOC;AGRIPPIN/FAURE/2021-03-05T23:49:26.000+01:00
TRANSPOLE:StopPointRef:BP:3759:LOC;FAURE;L1;AGRIPPIN;2021-03-06T00:50:37+01:00;2021-03-05T23:03:29+01:00;TRANSPOLE:ItemId::440667:LOC;AGRIPPIN/FAURE/2021-03-06T00:50:37.000+01:00
